Username,Handle,Timestamp,Comments,Likes,Retweets,Text
CAPITÃO CAVERNA,@MarcosPimt,2021-12-06T18:37:59.000Z,"CAPITÃO CAVERNAEm resposta a 
@lfcarr
 e 
@erikakokay",2,,
carlos pierre,@carlospgoliv,2021-12-06T18:25:19.000Z,"carlos pierreEm resposta a 
@judepaulla1",,,
#BrasilRepublicaPresidencialista,@Keila31177845,2021-12-06T18:00:28.000Z,"#BrasilRepublicaPresidencialistaEm resposta a 
@zeliaduncan",,,
Projeto Circular,@circularbelem,2021-12-06T17:58:12.000Z,"Projeto CircularO Centro Histórico de Belém na palma da mão! 

Roteiros, dicas gastronômicas, pontos turísticos!  
O app foi desenvolvido pela UX | UI e Desenvolvimento - Studio Uxi, com o apoio do projeto parceiro Roteiros GeoTurísticos. Patrocínio Banco da Amazônia e Alubar, via LeiRouanet.",1,,8
Cnc76 Macho Alpha!!!,@Cnc712,2021-12-06T17:48:58.000Z,"Cnc76 Macho Alpha!!!Em resposta a 
@zeliaduncan",,,
Cultura e Mercado,@cultmerc,2021-12-06T17:40:36.000Z,"Cultura e MercadoAGU julgou ilegal o veto ao “passaporte da vacina” em projetos da Lei Rouanet, antes da publicação da portaria. Leia no site:
https://culturaemercado.com.br",,,
Mirian,@Mirian75858248,2021-12-06T17:34:34.000Z,"MirianEm resposta a 
@brunogagliasso",,,
Sté ☭,@Stefanipaivas,2021-12-06T17:29:00.000Z,"Sté ☭Em resposta a 
@littleorangeju
 e 
@joaoherbella",,,
Marcio Farias,@Marcio76212922,2021-12-06T17:19:04.000Z,"Marcio FariasEm resposta a 
@viniciussexto",,,1
Júlia,@julian_giulia,2021-12-06T16:40:51.000Z,"JúliaEm resposta a 
@CPorchera
 @Cesar_cjb
 e mais 2",,,4
mauroquintinosiqueir,@maurimsiqueira,2021-12-06T16:27:50.000Z,"mauroquintinosiqueirEm resposta a 
@zeliaduncan",,,
Cleusa Maria Gomes,@CleusaMariagom3,2021-12-06T16:00:50.000Z,"Cleusa Maria GomesEm resposta a 
@sergiodireita1
 e 
@Nemesisdec2012",,2,5
